dataset,method,n_runs,auc_pr_mean,auc_pr_ci_low,auc_pr_ci_high,auc_roc_mean,auc_roc_ci_low,auc_roc_ci_high,f1_mean,f1_ci_low,f1_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,brier_mean,brier_ci_low,brier_ci_high,ece_10_mean,ece_10_ci_low,ece_10_ci_high,latency_mean_mean,latency_mean_ci_low,latency_mean_ci_high,throughput_eps_mean,throughput_eps_ci_low,throughput_eps_ci_high,score_std_mean,score_std_ci_low,score_std_ci_high,score_min_mean,score_min_ci_low,score_min_ci_high,score_max_mean,score_max_ci_low,score_max_ci_high,score_finite_frac_mean,score_finite_frac_ci_low,score_finite_frac_ci_high
synthetic_mean_shift,bocpd_slo,1,0.9870845057865713,,,0.9874999999999999,,,0.8405797101449275,,,1.0,,,0.725,,,0.08476293572735213,,,0.15656994154646925,,,0.0,,,1543.3369001583892,,,0.35430918277725415,,,0.0019882089760525907,,,0.9998641224959656,,,1.0,,
synthetic_mean_shift,copod_batch_ref,1,0.9999999999999998,,,1.0,,,0.967741935483871,,,1.0,,,0.9375,,,0.09461799376387663,,,0.24369434094647022,,,0.0,,,54425.059724520324,,,0.2588457627801142,,,0.004008791485305708,,,1.0,,,1.0,,
synthetic_mean_shift,ecod_batch_ref,1,0.9894224507502514,,,0.991625,,,0.922077922077922,,,0.9594594594594594,,,0.8875,,,0.1117912965746252,,,0.2412203406722526,,,0.0,,,239.13560450185517,,,0.22912088358213945,,,0.02361900041969742,,,1.0,,,1.0,,
synthetic_mean_shift,hst,1,0.9808208024628082,,,0.986875,,,0.704,,,0.9777777777777777,,,0.55,,,0.5534493552715568,,,0.5543363379500352,,,0.0,,,20.952742381642683,,,0.0010922726922509118,,,0.9955425735866331,,,0.9998629227130541,,,1.0,,
synthetic_mean_shift,iforest_asd,1,0.9372868589644713,,,0.9570000000000001,,,0.88,,,0.8105263157894737,,,0.9625,,,0.23915338904841235,,,0.29022773559855564,,,0.0,,,70.75356278579423,,,0.02940912510249775,,,0.2786511872032547,,,0.3974352004827279,,,1.0,,
synthetic_mean_shift,kitnet,1,0.9948943916381678,,,0.9964999999999999,,,0.9746835443037974,,,0.9871794871794872,,,0.9625,,,0.04331736709128327,,,0.13269643540905618,,,0.0,,,1207.4386268946955,,,0.38328165532308206,,,0.0016832130210929774,,,1.2967129778329474,,,1.0,,
synthetic_mean_shift,loda,1,0.5078916816602068,,,0.652625,,,0.39416058394160586,,,0.47368421052631576,,,0.3375,,,0.338023761113404,,,0.30646421334469476,,,0.0,,,110.13496856841101,,,0.01252214795007987,,,0.7252810141069013,,,0.7933980576104009,,,1.0,,
synthetic_mean_shift,lof_batch_ref,1,0.9999999999999998,,,1.0,,,0.9808917197452229,,,1.0,,,0.9625,,,0.10459417684950115,,,0.20886406286639225,,,0.0,,,20919.043303218667,,,0.28212866854284285,,,2.6477893007273936e-05,,,0.9538093269986132,,,1.0,,
synthetic_mean_shift,rrcf,1,0.4342029342396397,,,0.487125,,,0.6086956521739131,,,0.44508670520231214,,,0.9625,,,0.39284670437134434,,,0.3752447969519675,,,1.0,,,28.9861737883463,,,0.06132481299583995,,,0.6942603409653102,,,0.9666397244566592,,,1.0,,
synthetic_mean_shift,xstream,1,0.42077205199541023,,,0.480375,,,0.1981981981981982,,,0.3548387096774194,,,0.1375,,,0.4444444444444444,,,0.4444444444444444,,,10.0,,,5.53460601270606,,,0.9648191826936026,,,-5.145665382428538,,,-1.8432979633822069,,,1.0,,
